City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Santa Marta,CO,2020-06-19 02:55:23,11.24,-74.2,81.0,87,41,12.93
70,Yellowknife,CA,2020-06-19 02:55:23,62.46,-114.35,68.0,34,20,12.75
71,Kaeo,NZ,2020-06-19 02:55:23,-35.1,173.78,59.0,25,81,5.99
72,Sitka,US,2020-06-19 02:52:45,57.05,-135.33,53.6,87,90,16.11
73,Khatanga,RU,2020-06-19 02:55:24,71.97,102.5,57.38,51,75,14.74
74,Buin,CL,2020-06-19 02:55:24,-33.73,-70.75,46.4,93,90,4.7
75,Hilo,US,2020-06-19 02:52:52,19.73,-155.09,82.4,58,1,9.17
76,Mataura,NZ,2020-06-19 02:55:25,-46.19,168.86,46.63,69,0,3.51
77,Clyde River,CA,2020-06-19 02:55:25,70.47,-68.59,32.0,92,90,10.29
78,Dingle,PH,2020-06-19 02:55:25,11.0,122.67,83.23,70,100,3.15
79,Beni Mazar,EG,2020-06-19 02:54:04,28.5,30.8,65.61,90,0,7.43
80,Katsuura,JP,2020-06-19 02:55:26,35.13,140.3,68.0,94,75,13.87
81,Lusambo,CD,2020-06-19 02:55:27,-4.97,23.45,63.1,59,47,1.54
82,Port Alfred,ZA,2020-06-19 02:55:27,-33.59,26.89,54.0,71,0,1.01
83,Albany,US,2020-06-19 02:53:44,42.6,-73.97,75.99,86,52,1.99
84,Kurilsk,RU,2020-06-19 02:50:53,45.23,147.88,55.02,82,85,1.95
85,Constitucion,CL,2020-06-19 02:55:28,-35.33,-72.42,55.87,93,100,13.96
86,Korla,CN,2020-06-19 02:50:41,41.76,86.15,82.02,22,92,16.42
87,Olonets,RU,2020-06-19 02:55:28,60.98,32.97,63.19,93,3,5.59
88,Sao Gotardo,BR,2020-06-19 02:55:28,-19.31,-46.05,55.0,100,47,2.19
89,Hundested,DK,2020-06-19 02:55:29,55.97,11.87,61.0,100,16,7.29
90,Vestmanna,FO,2020-06-19 02:55:29,62.16,-7.17,48.2,100,76,5.82
91,Naze,JP,2020-06-19 02:55:29,28.37,129.48,91.4,66,75,18.34
92,Bud,US,2020-06-19 02:55:29,39.45,-86.18,73.99,73,2,1.54
93,Timberlake,US,2020-06-19 02:54:53,37.32,-79.26,66.2,88,90,5.82
94,Moose Factory,CA,2020-06-19 02:55:30,51.26,-80.61,68.0,72,1,4.7
95,Charters Towers,AU,2020-06-19 02:55:30,-20.1,146.27,70.09,60,65,14.07
96,Upernavik,GL,2020-06-19 02:55:30,72.79,-56.15,35.04,86,0,10.47
97,Acarau,BR,2020-06-19 02:50:55,-2.89,-40.12,77.81,83,0,12.71
98,Am Timan,TD,2020-06-19 02:51:34,11.03,20.28,76.59,72,98,5.61
99,Humaita,BR,2020-06-19 02:51:05,-7.51,-63.02,77.76,71,68,1.07
100,Ambilobe,MG,2020-06-19 02:55:31,-13.2,49.05,72.23,65,100,1.52
101,Paamiut,GL,2020-06-19 02:55:32,61.99,-49.67,37.4,94,39,14.76
102,Tiksi,RU,2020-06-19 02:55:32,71.69,128.87,57.11,62,100,3.44
103,Lavrentiya,RU,2020-06-19 02:51:08,65.58,-171.0,54.88,55,96,1.86
104,Saint Anthony,US,2020-06-19 02:55:32,45.02,-93.22,68.0,88,75,10.29
105,Los Teques,VE,2020-06-19 02:55:33,10.34,-67.04,71.01,87,100,1.66
106,Douentza,ML,2020-06-19 02:54:05,15.0,-2.95,87.1,42,100,7.11
107,Ambon,ID,2020-06-19 02:51:06,-3.7,128.18,82.0,94,75,6.93
108,Singkang,MY,2020-06-19 02:55:34,2.1,102.8,86.0,74,40,5.19
109,Saskylakh,RU,2020-06-19 02:55:34,71.92,114.08,75.04,36,85,12.39
110,Hit,IQ,2020-06-19 02:55:34,33.64,42.83,79.57,32,0,19.42
111,Gat,IL,2020-06-19 02:55:03,31.61,34.76,69.01,82,45,6.78
112,Tuatapere,NZ,2020-06-19 02:55:35,-46.13,167.68,44.74,62,0,0.83
113,Carutapera,BR,2020-06-19 02:55:35,-1.2,-46.02,74.34,91,100,6.31
114,Te Anau,NZ,2020-06-19 02:50:39,-45.42,167.72,45.25,62,0,1.34
115,Sembe,CG,2020-06-19 02:55:36,1.65,14.58,69.91,89,85,1.99
116,Olafsvik,IS,2020-06-19 02:55:36,64.89,-23.71,48.09,79,100,14.14
117,Kuala Terengganu,MY,2020-06-19 02:55:36,5.33,103.14,84.2,83,20,3.36
118,Nanortalik,GL,2020-06-19 02:55:37,60.14,-45.24,37.81,87,83,4.85
